Issue Type,Order No,Item Number,Packed Qty,MYOB Qty,Difference,Supplier Item,Colour,Notes
OVERSUPPLY,260226,HBTP22 BLACK,24000.0,20000.0,4000.0,Polyester Tape,Black,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260304 CS,MT400336 CHAONDKS,22500.0,21000.0,1500.0,Poly Mattress Tape,Charcoal T2055 on Dk Silver A17748,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260304 CS,MTS100 BLACK,3500.0,3000.0,500.0,Poly Border Tape,Black,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260311,WEBRG 50B,3450.0,3000.0,450.0,G0001 High Strength Polyester Webbing,Black,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260327,ELBH 12W,4200.0,4000.0,200.0,Polyester Heavy Braided Elastic,White,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260327,WEBSP 20B,1950.0,1500.0,450.0,"Spun Pol,yester Webbing",Black,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260327,MTYC70736 G,11000.0,10000.0,1000.0,Poly Mattress Tape,Grey T3937,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260331,ELKHR30 15W,20860.0,20000.0,860.0,Polyester 2344 # 30 Knitted Elastic,White,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260331,MT22 807 CHARCOAL,19200.0,18000.0,1200.0,Poly Mattress Tape,Charcoal - 807,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260407,ELKSR 25BE,2200.0,2000.0,200.0,Polyester 37 Gauge Knitted Elastic,Beige - R 240,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260407,ELKSR 32W,11000.0,10000.0,1000.0,Polyester 37 Gauge Knitted Elastic,White,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260407,HBTP16 BLACK SHF,32000.0,30000.0,2000.0,Polyester Tape,Black,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260407,MTF36 NC,16500.0,15000.0,1500.0,Poly Mattress Tape,Navy T1481 /           Charcoal T2055,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260407,WEBPP38B,6000.0,5000.0,1000.0,UV Polyprop Webbing,Black,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260409SM,LMT36 SH-SILVER LX,14000.0,12000.0,2000.0,Poly Mattress Tape,SH-Silver LX,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260413,WEBEE 25B,3500.0,3000.0,500.0,High Strength Polyester Webbing,Black,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
