Status,Supplier,MYOB Purchase No,Order No,Item Number,Description,Original MYOB Qty,Packed Qty,Remaining Qty,Adjustment Qty,Source Rows,Line No,Note
OVERSUPPLY,Yuchang Textile Factory,00260225,260225,MTCS36 SWDKS,MATTRESS TAPE MTCS 36 MM SHINY WHITE / DK SILVER,81000.0,97500.0,0,81000.0,"62,66",25655,
OVERSUPPLY,Yuchang Textile Factory,00260225,260225,MTYC70736 CW,MATTRESS TAPE MTYC707 36 MM CHARCOAL / SHINY WHITE JACQUARD sleepFIT,30000.0,32000.0,0,30000.0,63,25653,
MATCHED,Yuchang Textile Factory,00260225,260225,SFW50FY,SHADEFLEX WEBBING 50 MM FLUORO YELLOW,3600.0,3600.0,0,3600.0,59,25658,
MATCHED,Yuchang Textile Factory,00260226,260226,ELKSFS 25W,SHEETING ELASTIC 25 MM WHITE,5000.0,5000.0,0,5000.0,64,25670,
OVERSUPPLY,Yuchang Textile Factory,00260226,260226,HBTP22 BLACK,POLYESTER HBT TAPE 22 MM BLACK,20000.0,24000.0,0,20000.0,65,25673,
MATCHED,Yuchang Textile Factory,00260226,260226,MT402436 CH,MATTRESS TAPE MT4024 36 MM CHARCOAL T2055,51000.0,51000.0,0,51000.0,67,26158,
MATCHED,Yuchang Textile Factory,00260226,260226,MTS36 CHAR,MATTRESS TAPE MTS 36 MM CHARCOAL,162000.0,81000.0,81000.0,81000.0,68,25666,
MATCHED,Yuchang Textile Factory,260303F,260303F,WEBCE100,POLYESTER WEBBING 100 MM WITH BLACK LINE,1000.0,1000.0,0,1000.0,69,25690,
OVERSUPPLY,Yuchang Textile Factory,260304 CS,260304 CS,MT400336 CHAONDKS,MATTRESS TAPE MT4003 36 MM CHARCOAL ON DK SILVER,21000.0,22500.0,0,21000.0,70,25702,
MATCHED,Yuchang Textile Factory,260304 CS,260304 CS,MT402536 WD TB,MATTRESS TAPE MT4025 36 MM WITHOUT DIAMOND TAUPE T3748 / BROWN T5917,10500.0,10500.0,0,10500.0,71,25704,
OVERSUPPLY,Yuchang Textile Factory,260304 CS,260304 CS,MTS100 BLACK,BORDER TAPE 100 MM BLACK,3000.0,3500.0,0,3000.0,"72,73",25703,
